preset_name,opening_name,agent_color,outcome,score,plies,agent_moves,agent_avg_time_s,agent_avg_nodes,engine_avg_time_s
ab_d3_ordered,Starting Position,white,win,1.0,119,60,0.21021904666674043,1185.8166666666666,0.0
ab_d3_ordered,Starting Position,black,loss,0.0,47,23,0.21521208695649757,1262.9565217391305,0.0
ab_d3_ordered,Italian Game,white,draw,0.5,68,31,0.21061458064533298,1279.3225806451612,0.0
ab_d3_ordered,Italian Game,black,loss,0.0,57,25,0.2284566879995691,1342.24,0.0
ab_d3_ordered,Queen's Gambit Declined,white,draw,0.5,196,95,0.1467709652631847,883.2421052631579,0.0
ab_d3_ordered,Queen's Gambit Declined,black,loss,0.0,77,35,0.11957531142823948,534.2285714285714,0.0
ab_d3_ordered,Sicilian Defence (Najdorf),white,win,1.0,115,53,0.3853857094341124,2233.2830188679245,0.0
ab_d3_ordered,Sicilian Defence (Najdorf),black,draw,0.5,207,98,0.09916399897954353,573.7448979591836,0.0
ab_d3_ordered,French Defence (Advance),white,loss,0.0,120,57,0.1619428403510507,975.561403508772,0.0
ab_d3_ordered,French Defence (Advance),black,loss,0.0,117,56,0.1162928160717586,663.6785714285714,0.0
ab_d3_ordered,Caro-Kann Defence,white,win,1.0,149,72,0.19202949999998964,1208.75,0.0
ab_d3_ordered,Caro-Kann Defence,black,win,1.0,24,9,0.25547062222176464,2032.888888888889,0.0
ab_d3_ordered,Ruy Lopez (Morphy Defense),white,loss,0.0,212,103,0.11387992815568916,677.5533980582525,0.0
ab_d3_ordered,Ruy Lopez (Morphy Defense),black,loss,0.0,77,35,0.271247771428898,1390.7142857142858,0.0
ab_d3_ordered,Slav Defense,white,win,1.0,63,30,0.21281727000023237,1214.5333333333333,0.0
ab_d3_ordered,Slav Defense,black,win,1.0,48,22,0.30132177727269166,1731.0,0.0
ab_d3_ordered,King's Indian Defense,white,draw,0.5,135,66,0.20700301666654536,1153.1818181818182,0.0
ab_d3_ordered,King's Indian Defense,black,loss,0.0,81,38,0.3313224342106734,1838.3684210526317,0.0
ab_d3_ordered,Nimzo-Indian Defense,white,win,1.0,45,20,0.24677741000032255,1189.8,0.0
ab_d3_ordered,Nimzo-Indian Defense,black,win,1.0,36,15,0.27457430000019184,1873.7333333333333,0.0
ab_d3_ordered,English Opening (Symmetrical),white,win,1.0,55,26,0.3608572307693976,1972.0384615384614,0.0
ab_d3_ordered,English Opening (Symmetrical),black,loss,0.0,65,30,0.3673153866663294,1885.4333333333334,0.0
ab_d3_ordered,Grunfeld Defense,white,draw,0.5,119,57,0.18143228947353732,1149.561403508772,0.0
ab_d3_ordered,Grunfeld Defense,black,win,1.0,42,18,0.21581346111148983,1100.6666666666667,0.0
ab_d3_ordered,Reti Opening,white,win,1.0,31,15,0.33516655999944,1996.4,0.0
ab_d3_ordered,Reti Opening,black,draw,0.5,57,27,0.22578325185154594,1015.6666666666666,0.0
ab_d3_ordered,Alekhine's Defense,white,win,1.0,59,28,0.210173128570984,1440.1785714285713,0.0
ab_d3_ordered,Alekhine's Defense,black,loss,0.0,167,82,0.29255690731703754,1525.5243902439024,0.0
ab_d3_ordered,Modern Defense,white,loss,0.0,64,31,0.42050867096751915,2367.967741935484,0.0
ab_d3_ordered,Modern Defense,black,loss,0.0,133,65,0.15610218461515615,976.3230769230769,0.0
ab_d3_ordered,Pirc Defense,white,draw,0.5,109,53,0.2255446132072599,1404.3584905660377,0.0
ab_d3_ordered,Pirc Defense,black,draw,0.5,142,69,0.17194552173933134,1041.0144927536232,0.0
ab_d3_ordered,Scandinavian Defense,white,loss,0.0,116,56,0.15735902678579805,948.6428571428571,0.0
ab_d3_ordered,Scandinavian Defense,black,draw,0.5,74,36,0.2666490583333143,1431.6666666666667,0.0
ab_d3_ordered,Dutch Defense,white,win,1.0,89,44,0.36039923181769234,2241.7954545454545,0.0
ab_d3_ordered,Dutch Defense,black,draw,0.5,153,75,0.22161997733317548,1209.4133333333334,0.0
ab_d3_ordered,Benoni Defense,white,loss,0.0,40,17,0.3510167411777194,1849.6470588235295,0.0
ab_d3_ordered,Benoni Defense,black,win,1.0,116,55,0.3132539327273579,2065.690909090909,0.0
ab_d3_ordered,Benko Gambit,white,win,1.0,33,14,0.3185651857145006,1907.7142857142858,0.0
ab_d3_ordered,Benko Gambit,black,loss,0.0,27,10,0.23289027999926476,1265.0,0.0
ab_d3_ordered,Vienna Game,white,loss,0.0,74,35,0.28781035714263065,1524.8857142857144,0.0
ab_d3_ordered,Vienna Game,black,win,1.0,52,24,0.30293989166618,2001.6666666666667,0.0
ab_d3_ordered,Bishop's Opening,white,win,1.0,127,62,0.3004715725806642,1562.774193548387,0.0
ab_d3_ordered,Bishop's Opening,black,win,1.0,40,19,0.40809078947361405,2507.684210526316,0.0
ab_d3_ordered,Four Knights Game,white,draw,0.5,141,68,0.1334500617650145,745.4558823529412,0.0
ab_d3_ordered,Four Knights Game,black,loss,0.0,101,48,0.2917591374997149,1327.9375,0.0
ab_d3_ordered,Scotch Game,white,win,1.0,43,19,0.22562638947420055,1259.7368421052631,0.0
ab_d3_ordered,Scotch Game,black,loss,0.0,69,32,0.3107382781247452,1448.46875,0.0
ab_d3_ordered,Philidor Defense,white,loss,0.0,120,58,0.30363613275855234,1368.3793103448277,0.0
ab_d3_ordered,Philidor Defense,black,draw,0.5,160,78,0.20169760641016557,1008.7179487179487,0.0
ab_d3_ordered,Petrov's Defense,white,win,1.0,63,29,0.4740695068961439,2606.4827586206898,0.0
ab_d3_ordered,Petrov's Defense,black,loss,0.0,179,86,0.11765998488353521,563.2790697674419,0.0
ab_d3_ordered,Giuoco Piano,white,loss,0.0,206,100,0.1531177360001675,807.08,0.0
ab_d3_ordered,Giuoco Piano,black,win,1.0,46,20,0.3207264250000662,1513.2,0.0
ab_d3_ordered,Two Knights Defense,white,draw,0.5,200,96,0.1651829031249387,836.8854166666666,0.0
ab_d3_ordered,Two Knights Defense,black,win,1.0,54,23,0.20330354782550863,934.6086956521739,0.0
ab_d3_ordered,Evan's Gambit,white,win,1.0,51,22,0.2749580545450127,1577.2727272727273,0.0
ab_d3_ordered,Evan's Gambit,black,loss,0.0,57,25,0.2823090560003766,1286.2,0.0
ab_d3_ordered,King's Gambit Accepted,white,loss,0.0,82,39,0.2640098179488119,1227.7435897435898,0.0
ab_d3_ordered,King's Gambit Accepted,black,loss,0.0,39,17,0.3956849235296164,1521.764705882353,0.0
ab_d3_ordered,Danish Gambit,white,loss,0.0,94,44,0.35109755454562797,1408.2954545454545,0.0
ab_d3_ordered,Danish Gambit,black,draw,0.5,168,82,0.1952888012195816,942.0121951219512,0.0
ab_d3_ordered,Catalan Opening,white,loss,0.0,168,82,0.23465690121924038,1173.9878048780488,0.0
ab_d3_ordered,Catalan Opening,black,draw,0.5,135,65,0.2071121323078002,973.8153846153846,0.0
ab_d3_ordered,Bogo-Indian Defense,white,loss,0.0,160,77,0.14368574285726463,746.2207792207793,0.0
ab_d3_ordered,Bogo-Indian Defense,black,loss,0.0,51,22,0.5002619227275731,2745.590909090909,0.0
ab_d3_ordered,Queen's Indian Defense,white,loss,0.0,50,22,0.15331904090850335,682.2727272727273,0.0
ab_d3_ordered,Queen's Indian Defense,black,loss,0.0,127,60,0.3258819766668845,1564.5166666666667,0.0
ab_d3_ordered,Trompowsky Attack,white,loss,0.0,154,76,0.26377825526306925,1334.75,0.0
ab_d3_ordered,Trompowsky Attack,black,win,1.0,88,43,0.2110783093024132,1258.3720930232557,0.0
ab_d3_ordered,London System,white,win,1.0,33,14,0.3568663500001484,2045.5,0.0
ab_d3_ordered,London System,black,loss,0.0,139,67,0.29140752238825696,1346.5223880597016,0.0
ab_d3_ordered,Colle System,white,win,1.0,91,43,0.38497819767406666,2050.6744186046512,0.0
ab_d3_ordered,Colle System,black,loss,0.0,159,77,0.10554755584390867,542.0519480519481,0.0
ab_d3_ordered,Torre Attack,white,loss,0.0,150,73,0.1624245397261765,851.027397260274,0.0
ab_d3_ordered,Torre Attack,black,win,1.0,62,29,0.23476272413784594,1326.448275862069,0.0
ab_d3_ordered,Richter-Veresov Attack,white,loss,0.0,150,73,0.09807678356177447,525.7945205479452,0.0
ab_d3_ordered,Richter-Veresov Attack,black,loss,0.0,35,15,0.5458737333329433,2639.5333333333333,0.0
ab_d3_ordered,Blackmar-Diemer Gambit,white,loss,0.0,110,54,0.2506027277779342,1248.1666666666667,0.0
ab_d3_ordered,Blackmar-Diemer Gambit,black,draw,0.5,86,42,0.2608057761904742,1455.6190476190477,0.0
ab_d3_ordered,Bird's Opening,white,win,1.0,95,47,0.21388178297847651,1256.4893617021276,0.0
ab_d3_ordered,Bird's Opening,black,loss,0.0,77,38,0.3814813710525509,1821.421052631579,0.0
ab_d3_ordered,Larsen's Opening,white,loss,0.0,66,32,0.24240285937503359,1216.21875,0.0
ab_d3_ordered,Larsen's Opening,black,win,1.0,162,81,0.267406179012467,1347.0,0.0
ab_d3_ordered,Sokolsky Opening,white,loss,0.0,62,30,0.3717086999998476,1930.0,0.0
ab_d3_ordered,Sokolsky Opening,black,win,1.0,48,24,0.2987302041666832,1692.5,0.0
ab_d3_ordered,Grob's Attack,white,loss,0.0,38,18,0.28767402222244226,1347.388888888889,0.0
ab_d3_ordered,Grob's Attack,black,loss,0.0,203,101,0.10999320891101834,599.019801980198,0.0
ab_d3_ordered,Clemenz Opening,white,loss,0.0,90,44,0.23884142727258056,1134.25,0.0
ab_d3_ordered,Clemenz Opening,black,loss,0.0,69,34,0.3663508970592589,1840.1176470588234,0.0
ab_d3_ordered,Amar Opening,white,loss,0.0,104,51,0.2402135372546635,1129.5686274509803,0.0
ab_d3_ordered,Amar Opening,black,win,1.0,60,30,0.27849419333336606,1669.1666666666667,0.0
